Experience,Qualifications,Salary Range,location,Work Type,Job Title,Role,Job Description,skills,Company
1 to 15 Years,MCA,$59K-$94K,Nouakchott,Full-Time,Software Tester,Performance Tester,A Performance Tester assesses the performance and scalability of software applications. They conduct load and stress testing to identify bottlenecks and optimize performance.,"Performance testing methodologies Load testing tools (e.g., JMeter) Test script development Performance profiling and analysis Bottleneck identification",VMware
2 to 10 Years,MCA,$56K-$114K,Dili,Contract,Account Executive,Sales Account Executive,"A Sales Account Executive is responsible for acquiring and managing business accounts. They identify sales opportunities, negotiate contracts, and meet revenue targets.",Sales strategies and tactics Account management Relationship building Sales forecasting Industry and product knowledge,Opendoor Technologies
2 to 15 Years,MCA,$65K-$84K,Canberra,Part-Time,UI Developer,UX/UI Designer,A UX/UI Designer focuses on enhancing user experiences by designing intuitive interfaces. They consider user needs and preferences to create visually appealing and functional designs.,User experience (UX) design User interface (UI) design Wireframing and prototyping Usability testing Design tools like Sketch or Figma,Hormel Foods
0 to 10 Years,BBA,$61K-$121K,Philipsburg,Full-Time,Supply Chain Manager,Demand Planner,A Demand Planner analyzes historical sales data to forecast future demand for products. They work to optimize inventory levels and ensure product availability while minimizing costs.,Demand forecasting Inventory management Data analysis Sales and operations planning (S&OP) ERP software proficiency,China Pacific Insurance
1 to 8 Years,BCA,$58K-$120K,Khartoum,Full-Time,Accountant,Tax Accountant,"Tax Accountants specialize in tax-related matters. They prepare tax returns, assist with tax planning, and ensure compliance with tax laws and regulations. They stay updated on tax codes and advise organizations on tax strategies.",Tax preparation Tax planning Tax regulations Accounting Tax software proficiency,Diageo
5 to 14 Years,MBA,$64K-$83K,Roseau,Part-Time,Data Analyst,Business Intelligence Analyst,"Business Intelligence Analysts gather and analyze data to provide valuable insights to support decision-making within an organization. They create reports, dashboards, and data visualizations to help stakeholders understand trends, patterns, and opportunities in the data.","Data analysis and visualization tools (e.g., Tableau, Power BI) SQL and database querying Business intelligence concepts Data modeling and reporting Strong analytical and problem-solving skills Data-driven decision-making",Darden Restaurants
2 to 12 Years,BCA,$55K-$80K,Tarawa,Intern,Landscape Architect,Environmental Designer,"Design outdoor spaces, parks, and landscapes with an emphasis on environmental sustainability.",Environmental design principles Sustainability concepts CAD and design software,Charter Communications
2 to 10 Years,M.Tech,$63K-$98K,The City of Hamilton,Intern,Project Coordinator,Administrative Coordinator,"Administrative Coordinators support administrative tasks, including data entry, scheduling, and document management, to enhance organizational efficiency.",Office administration Communication skills Organizational skills Time management Microsoft Office proficiency,Corning
1 to 9 Years,BCA,$59K-$116K,Dushanbe,Contract,Procurement Manager,Procurement Analyst,"Analyze procurement data, identify cost-saving opportunities, and support the procurement process.",Procurement processes Vendor assessment Contract negotiation Purchase order management Spend analysis Market research Supplier relationship management Data analysis Problem-solving Attention to detail Communication skills Financial acumen,Carrier Global
1 to 15 Years,MBA,$57K-$95K,Warsaw,Intern,Physical Therapist,Orthopedic Physical Therapist,"Provide physical therapy services to patients with orthopedic conditions, rehabilitate injuries, and improve mobility.",Orthopedic assessment and treatment Rehabilitation exercises Patient education,Huntington Ingalls Industries
5 to 8 Years,B.Com,$65K-$128K,Niamey,Full-Time,Physical Therapist,Geriatric Physical Therapist,"Focus on the physical therapy needs of elderly patients, addressing mobility and age-related conditions.",Geriatric rehabilitation Fall prevention Elderly patient care,Nucor
5 to 14 Years,BA,$65K-$92K,Dakar,Intern,Data Entry Clerk,Record Keeper,"A Record Keeper is responsible for maintaining accurate records and databases, ensuring data integrity, and assisting in data retrieval when needed.",Records management Data entry and retrieval Attention to detail,Allianz SE
4 to 11 Years,M.Com,$57K-$124K,Stockholm,Intern,Customer Success Manager,Account Manager,"An Account Manager builds and maintains relationships with clients or customers, ensuring their needs are met and promoting products or services to drive revenue and growth.",Account management Customer relationship management Sales and negotiation Business development Client needs analysis,Burlington Stores
5 to 14 Years,M.Tech,$61K-$126K,Oranjestad,Contract,Nurse Manager,Nurse Educator,"Nurse Educators are responsible for teaching and mentoring nursing students and healthcare professionals. They develop and deliver educational programs, assess learning outcomes, and ensure the competence of nursing staff.",Nursing education Curriculum development Clinical instruction Assessment and evaluation Educational technology Communication skills,Hindustan Zinc
5 to 15 Years,M.Com,$60K-$89K,Beirut,Intern,Legal Assistant,Paralegal,"Assist lawyers with legal research, document preparation, and case management in law firms or legal departments.","Legal research Document drafting Case management E-filing Legal databases (e.g., LexisNexis) Client communication Deposition preparation Trial support Ethics and confidentiality Attention to detail Communication skills Legal software proficiency",Morrison Supermarkets
2 to 10 Years,MCA,$55K-$108K,Banjul,Contract,Marketing Specialist,Content Marketing Manager,"Content Marketing Managers oversee the creation and distribution of content to attract and engage customers. They develop content strategies, manage content teams, and track performance metrics to optimize content marketing efforts.",Content strategy Content creation Blog management Content promotion SEO Analytics and reporting,E.ON SE
0 to 10 Years,B.Tech,$65K-$111K,Road Town,Full-Time,Digital Marketing Specialist,Social Media Manager,"Social Media Managers oversee an organizations social media presence. They create and schedule content, engage with followers, and analyze social media metrics to drive brand awareness and engagement.","Social media platforms (e.g., Facebook, Twitter, Instagram) Content creation and scheduling Social media analytics and insights Community engagement Paid social advertising",Infosys
2 to 8 Years,BA,$60K-$114K,Saint George's,Full-Time,Litigation Attorney,Family Law Attorney,"Family Law Attorneys deal with legal matters related to family relationships. They handle cases like divorce, child custody, adoption, and domestic disputes to provide legal guidance.",Family law Divorce proceedings Child custody Mediation Legal counseling Court representation,Genworth Financial
2 to 10 Years,PhD,$57K-$127K,Papeete,Full-Time,Human Resources Manager,Talent Acquisition Manager,"Talent Acquisition Managers oversee the recruitment and hiring process. They develop recruitment strategies, source candidates, conduct interviews, and collaborate with hiring managers to attract and hire qualified talent to meet the organizations staffing needs.",Talent sourcing Interviewing Onboarding Recruitment strategies HR software,Vodafone
3 to 8 Years,B.Tech,$55K-$81K,Kathmandu,Contract,Social Worker,School Social Worker,"Support students social and emotional well-being in schools, collaborate with educators, and connect families with resources.",School social work principles Student assessment and intervention Special education laws Individualized education plans (IEPs) Crisis management Collaboration with educators Family engagement Advocacy Empathy and communication Documentation Cultural competence Licensing and certification,Global Payments
4 to 10 Years,MCA,$62K-$121K,Warsaw,Full-Time,Process Engineer,Industrial Engineer,"Industrial Engineers focus on improving efficiency and productivity in various industries. They analyze processes, design systems, and implement solutions to streamline operations, reduce costs, and enhance quality.",Industrial engineering Process optimization Lean manufacturing Quality control Data analysis Workflow design,Mphasis
5 to 8 Years,M.Tech,$64K-$116K,Tehran,Intern,Marketing Analyst,Data Analyst,"Analyze data sets, generate insights, and provide data-driven recommendations to inform business decisions.","Data analysis tools (e.g., SQL, Python) Data visualization tools (e.g., Tableau, Power BI) Statistical analysis Data cleansing and transformation Data modeling Communication of data insights Problem-solving Attention to detail Business acumen",Avnet
1 to 9 Years,MBA,$57K-$91K,Stockholm,Part-Time,Electrical Designer,Electrical Engineer,"Electrical Engineers design and develop electrical systems and devices. They work on projects such as power generation, electronics, and control systems for various industries.",Electrical engineering Circuit design Electronics AutoCAD proficiency Problem-solving,Bandhan Bank
1 to 8 Years,MCA,$57K-$117K,Papeete,Intern,Research Scientist,Research Analyst,"Research Analysts conduct research, collect data, and analyze information to support business decision-making. They generate reports and recommendations based on their findings to aid in strategic planning.",Data collection and analysis Market research tools and techniques Survey design and analysis Qualitative and quantitative research methods Report writing and presentation skills,Whitehaven Coal
4 to 15 Years,PhD,$56K-$99K,Valletta,Part-Time,Database Developer,SQL Database Developer,"SQL Database Developers design, implement, and maintain relational databases using SQL (Structured Query Language). They write queries, optimize database performance, and ensure data integrity and security.",SQL (Structured Query Language) Database design Query optimization Data modeling Database maintenance Problem-solving skills,Oshkosh
3 to 12 Years,MBA,$56K-$88K,Accra,Intern,Digital Marketing Specialist,Social Media Manager,"Social Media Managers oversee an organizations social media presence. They create and schedule content, engage with followers, and analyze social media metrics to drive brand awareness and engagement.","Social media platforms (e.g., Facebook, Twitter, Instagram) Content creation and scheduling Social media analytics and insights Community engagement Paid social advertising",Bath & Body Works
1 to 10 Years,PhD,$64K-$109K,Naypyidaw,Contract,UX/UI Designer,User Experience Designer,"User Experience Designers create intuitive and user-friendly digital interfaces. They conduct user research, design prototypes, and work to enhance the overall user experience of websites and applications.","User-centered design principles UX/UI design tools (e.g., Sketch, Adobe XD) Wireframing and prototyping Usability testing and user research Information architecture and user flows",AMP Limited
0 to 15 Years,PhD,$58K-$115K,Jerusalem,Part-Time,Event Planner,Wedding Planner,"Wedding Planners specialize in organizing weddings, assisting couples with every aspect of wedding planning, from venue selection to catering and decor.",Wedding planning Venue selection Catering and menu planning Floral and decor design Wedding etiquette,Lufthansa Group
1 to 15 Years,PhD,$59K-$130K,Amman,Contract,Event Coordinator,Wedding Coordinator,"Plan and execute weddings, coordinate vendors, manage budgets, and oversee all aspects of the event to create a memorable day.",Wedding planning Vendor coordination Ceremony and reception logistics Wedding etiquette Budget management Timeline planning Attention to detail Client communication Creativity Problem-solving Emotional intelligence Event design,Morrison Supermarkets
0 to 12 Years,BCA,$64K-$85K,Kingstown,Intern,Litigation Attorney,Family Law Attorney,"Family Law Attorneys deal with legal matters related to family relationships. They handle cases like divorce, child custody, adoption, and domestic disputes to provide legal guidance.",Family law Divorce proceedings Child custody Mediation Legal counseling Court representation,Northwestern Mutual
4 to 9 Years,BCA,$60K-$91K,Manila,Full-Time,Paralegal,Corporate Paralegal,"Provide legal support to corporate legal teams, assist with mergers and acquisitions, and manage corporate records.",Corporate legal tasks Document drafting Compliance Corporate governance Contract management Due diligence Entity formation Communication with stakeholders Attention to detail Technology proficiency Legal software proficiency Legal research skills,Hochschild Mining
0 to 10 Years,BBA,$60K-$82K,Macao,Intern,Account Executive,Sales Account Executive,"A Sales Account Executive is responsible for acquiring and managing business accounts. They identify sales opportunities, negotiate contracts, and meet revenue targets.",Sales strategies and tactics Account management Relationship building Sales forecasting Industry and product knowledge,Hindalco Industries
1 to 11 Years,M.Com,$59K-$125K,Tehran,Full-Time,Network Engineer,Network Administrator,"Network Administrators manage an organizations computer networks. They configure, monitor, and maintain network infrastructure, ensuring optimal performance and security.","Network management Troubleshooting Network security IT certifications (e.g., CCNA)",Ryder System
2 to 12 Years,B.Com,$65K-$97K,Monrovia,Contract,Software Developer,Mobile App Developer,Mobile App Developers design and develop mobile applications for various platforms. They collaborate with cross-functional teams to create user-friendly and functional mobile apps that meet user needs.,"Mobile app development languages (e.g., Java, Swift, Kotlin) Cross-platform development (e.g., React Native, Flutter) Mobile app design principles APIs and web services integration Debugging and troubleshooting",3i Group
2 to 14 Years,BA,$65K-$104K,"Malabo (de jure),",Part-Time,Event Planner,Event Coordinator,"Event Coordinators plan and execute various events, including conferences, parties, and meetings, managing logistics, budgets, and vendor relationships.",Event planning Vendor coordination Budget management Marketing and promotion Logistics,Kimberly-Clark
5 to 12 Years,M.Tech,$63K-$130K,Ṣo Tom̩,Contract,UI Developer,Front-End Developer,A Front-End Developer specializes in creating the user interface and user experience of websites or applications. They code and design elements that users interact with directly.,"Front-end web development HTML, CSS, JavaScript Responsive design Web performance optimization Cross-browser compatibility",Plains GP Holdings
4 to 8 Years,BA,$59K-$84K,San Jose,Full-Time,Research Analyst,Social Science Researcher,"A Social Science Researcher conducts research in fields such as sociology, psychology, or anthropology to study human behavior and social phenomena, contributing to academic knowledge.","Social science research methods Qualitative and quantitative data analysis Survey design and implementation Ethnographic research Interviewing skills Research ethics Statistical software (e.g., Stata, NVivo) Report writing Communication skills Critical thinking Empathy","Wirecard AG (Now defunct, due to bankruptcy)"
1 to 13 Years,BBA,$64K-$83K,Riyadh,Full-Time,Business Analyst,Data Business Analyst,"Data Business Analysts focus on data-related projects. They collect and analyze data, identify trends, and provide insights to support data-driven decision-making within the organization.","Data analysis Data modeling Data visualization SQL Data tools (e.g., Tableau)",Williams-Sonoma
5 to 14 Years,M.Tech,$65K-$115K,Nur-Sultan,Intern,UI Developer,Front-End Developer,A Front-End Developer specializes in creating the user interface and user experience of websites or applications. They code and design elements that users interact with directly.,"Front-end web development HTML, CSS, JavaScript Responsive design Web performance optimization Cross-browser compatibility",Eastman Chemical
5 to 10 Years,BCA,$59K-$91K,Prague,Intern,Mechanical Engineer,Manufacturing Engineer,"Manufacturing Engineers optimize manufacturing processes, improve production efficiency, and ensure product quality in manufacturing environments.",Manufacturing processes knowledge CAD/CAM software proficiency Lean manufacturing principles Quality control and assurance Six Sigma certification,StoneX Group
3 to 10 Years,B.Tech,$63K-$88K,Lusaka,Part-Time,Digital Marketing Specialist,Social Media Manager,"Social Media Managers oversee an organizations social media presence. They create and schedule content, engage with followers, and analyze social media metrics to drive brand awareness and engagement.","Social media platforms (e.g., Facebook, Twitter, Instagram) Content creation and scheduling Social media analytics and insights Community engagement Paid social advertising",Alaska Air Group
3 to 12 Years,PhD,$64K-$123K,City of Baghdad,Part-Time,Electrical Designer,Electrical Engineer,"Electrical Engineers design and develop electrical systems and devices. They work on projects such as power generation, electronics, and control systems for various industries.",Electrical engineering Circuit design Electronics AutoCAD proficiency Problem-solving,Raymond James Financial
3 to 11 Years,M.Tech,$64K-$129K,Oranjestad,Full-Time,QA Engineer,QA Manager,"A QA Manager is responsible for leading and managing the quality assurance team. They ensure product quality, develop and implement QA processes, and maintain quality standards.",Quality assurance Process improvement Team leadership Problem-solving Quality control,Goldman Sachs Group
0 to 12 Years,PhD,$55K-$120K,Saint John's,Part-Time,SEO Specialist,Content SEO Strategist,"Content SEO Strategists create SEO strategies specifically for content, focusing on keyword integration, content quality, and user engagement to boost organic traffic.",Content strategy SEO content optimization Content marketing Keyword mapping Analytics,Nike
4 to 15 Years,M.Tech,$64K-$103K,Wellington,Full-Time,Account Executive,Sales Account Executive,"A Sales Account Executive is responsible for acquiring and managing business accounts. They identify sales opportunities, negotiate contracts, and meet revenue targets.",Sales strategies and tactics Account management Relationship building Sales forecasting Industry and product knowledge,Standard Chartered
3 to 15 Years,M.Com,$59K-$121K,Tirana,Full-Time,Digital Marketing Specialist,Email Marketing Specialist,"Email Marketing Specialists design and execute email marketing campaigns. They create email content, segment email lists, and analyze campaign performance to achieve marketing goals and engage subscribers.","Email marketing platforms (e.g., Mailchimp, Constant Contact) Email campaign creation and segmentation A/B testing and optimization Email deliverability and compliance Metrics tracking and analysis","Dr. Pepper Snapple Group, Inc."
0 to 11 Years,MBA,$56K-$118K,Lilongwe,Part-Time,Electrical Engineer,Electronics Hardware Engineer,"Electronics Hardware Engineers develop and design electronic components and systems, from circuit boards to hardware prototypes, ensuring functionality and performance.",Electronics design PCB layout Embedded systems Circuit analysis Troubleshooting,The Hershey Company
2 to 13 Years,BCA,$59K-$130K,Nairobi,Contract,Business Development Manager,Market Expansion Manager,"A Market Expansion Manager strategizes and executes plans to expand the companys presence in new markets, identifying growth opportunities and optimizing market penetration.",Market expansion strategies Market research Sales planning and execution,Mphasis
0 to 8 Years,BCA,$56K-$115K,Mogadishu,Part-Time,Product Manager,Technical Product Manager,"Technical Product Managers oversee the development and enhancement of technical products. They define product requirements, prioritize features, collaborate with development teams, and ensure the product aligns with the companys strategic goals and market needs.",Product management principles Technical background Agile development methodologies Product roadmap planning Market research and analysis Stakeholder communication Problem-solving skills,China Merchants Bank
1 to 9 Years,B.Com,$59K-$88K,Dakar,Contract,Electrical Engineer,Electronics Hardware Engineer,"Electronics Hardware Engineers develop and design electronic components and systems, from circuit boards to hardware prototypes, ensuring functionality and performance.",Electronics design PCB layout Embedded systems Circuit analysis Troubleshooting,Bajaj Finance
3 to 15 Years,PhD,$61K-$123K,Apia,Full-Time,SEO Specialist,SEO Analyst,"SEO Analysts optimize websites for search engines, conduct keyword research, analyze performance metrics, and implement strategies to improve search rankings.","Search engine optimization Keyword research SEO tools (e.g., Google Analytics, SEMrush) On-page and off-page optimization",Allianz SE
4 to 11 Years,MCA,$61K-$105K,Port of Spain,Part-Time,Office Manager,Office Coordinator,"Office Coordinators provide administrative support within an office. They assist with tasks like scheduling, record-keeping, and communication to ensure efficient office operations.",Office administration Calendar management Reception duties Communication skills Record keeping Office supplies management,Stockland Corporation
2 to 9 Years,BCA,$65K-$122K,Manama,Full-Time,Data Analyst,Data Scientist,"Data Scientists use their expertise in data analysis and machine learning to extract valuable insights and predictions from data. They build and train models, conduct statistical analysis, and communicate findings to drive data-driven decision-making in the organization.","Machine learning algorithms and libraries (e.g., scikit-learn, TensorFlow, PyTorch) Statistical analysis and modeling Data preprocessing and cleaning Big data technologies (e.g., Hadoop, Spark) Data visualization Strong programming skills (Python, R)",Divi's Laboratories
2 to 12 Years,B.Com,$58K-$116K,Bissau,Intern,UI Developer,UX/UI Designer,A UX/UI Designer focuses on enhancing user experiences by designing intuitive interfaces. They consider user needs and preferences to create visually appealing and functional designs.,User experience (UX) design User interface (UI) design Wireframing and prototyping Usability testing Design tools like Sketch or Figma,Gap
2 to 11 Years,BCA,$56K-$124K,Riyadh,Full-Time,Event Manager,Conference Manager,"A Conference Manager coordinates and manages conferences, meetings, and events. They plan logistics, handle budgeting, liaise with vendors, and ensure the smooth execution of events, catering to the needs and expectations of attendees.",Event planning Conference logistics Budget management Vendor coordination Marketing and promotion Client relations,Campbell Soup
1 to 15 Years,B.Com,$58K-$130K,Dili,Full-Time,HR Manager,HR Compliance Specialist,"An HR Compliance Specialist ensures adherence to employment laws and regulations, conducts audits, and provides guidance to maintain legal compliance within the organization.",Employment law knowledge Compliance management Auditing skills Employee relations Communication skills,APA Group
2 to 12 Years,MBA,$65K-$108K,Georgetown,Part-Time,Urban Planner,City Planner,"City Planners develop and implement urban planning strategies. They work to improve communities, manage resources, and address issues related to land use and infrastructure.",Urban planning Zoning regulations Environmental planning GIS proficiency Community engagement,United States Steel
0 to 12 Years,M.Tech,$62K-$89K,Papeete,Full-Time,UI Developer,UX/UI Designer,A UX/UI Designer focuses on enhancing user experiences by designing intuitive interfaces. They consider user needs and preferences to create visually appealing and functional designs.,User experience (UX) design User interface (UI) design Wireframing and prototyping Usability testing Design tools like Sketch or Figma,"T-Mobile US, Inc."
5 to 13 Years,B.Tech,$63K-$95K,Manila,Part-Time,Database Administrator,Database Analyst,"A Database Analyst examines and interprets data stored in databases. They generate reports, identify trends, and provide insights to support business decision-making.",Data analysis Database querying and reporting Data visualization SQL proficiency Data quality assurance,BlueScope Steel
0 to 10 Years,BBA,$61K-$84K,Nouakchott,Contract,Landscape Architect,Environmental Designer,"Design outdoor spaces, parks, and landscapes with an emphasis on environmental sustainability.",Environmental design principles Sustainability concepts CAD and design software,Kohl's
0 to 14 Years,M.Com,$55K-$106K,Ankara,Full-Time,UI Developer,Front-End Developer,A Front-End Developer specializes in creating the user interface and user experience of websites or applications. They code and design elements that users interact with directly.,"Front-end web development HTML, CSS, JavaScript Responsive design Web performance optimization Cross-browser compatibility",FedEx
2 to 9 Years,B.Tech,$65K-$92K,Suva,Contract,UX/UI Designer,Interaction Designer,Interaction Designers specialize in designing user interactions within digital interfaces. They create meaningful and engaging user experiences by considering user behaviors and system responses.,Interaction design principles User behavior and psychology Wireframing and prototyping tools Animation and micro-interaction design Collaborative design processes,CSX
5 to 8 Years,BBA,$65K-$109K,Tarawa,Intern,Mechanical Designer,CAD Technician,Create and modify technical drawings using computer-aided design (CAD) software for various engineering projects.,Computer-aided design (CAD) software Technical drawing Blueprint interpretation Drafting standards Engineering principles Collaboration with engineers Problem-solving Attention to detail Communication skills 3D modeling (if applicable),Coal India Limited
3 to 11 Years,MCA,$65K-$117K,Abuja,Part-Time,Teacher,Subject Matter Expert,A Subject Matter Expert possesses deep knowledge in a specific field and provides expertise to solve complex problems or guide decision-making within that domain.,Expertise in a specific subject area Knowledge of curriculum standards Instructional design Assessment development Educational technology proficiency,EasyJet
5 to 8 Years,PhD,$64K-$113K,Pristina,Intern,Electrical Designer,Electrical Engineer,"Electrical Engineers design and develop electrical systems and devices. They work on projects such as power generation, electronics, and control systems for various industries.",Electrical engineering Circuit design Electronics AutoCAD proficiency Problem-solving,BorgWarner
2 to 12 Years,PhD,$56K-$108K,Charlotte Amalie,Intern,Marketing Specialist,Marketing Analytics Specialist,"Marketing Analytics Specialists analyze marketing data to derive insights and inform marketing strategies. They use tools like Google Analytics and data analysis software to track campaign performance, customer behavior, and market trends.",Marketing analytics Data analysis Data visualization Market research Google Analytics Marketing automation Reporting tools,SSE plc
0 to 12 Years,M.Com,$65K-$111K,Hanoi,Full-Time,Procurement Manager,Supplier Diversity Manager,"Promote diversity and inclusion in the supply chain, manage supplier diversity programs, and assess supplier performance.",Supplier diversity programs Diversity and inclusion initiatives Supplier assessment and certification Data collection and reporting Vendor outreach and engagement Strategic planning Communication skills Relationship building Attention to diversity and inclusion principles,Sonic Healthcare
5 to 13 Years,MCA,$59K-$106K,Niamey,Intern,UX/UI Designer,User Experience Designer,"User Experience Designers create intuitive and user-friendly digital interfaces. They conduct user research, design prototypes, and work to enhance the overall user experience of websites and applications.","User-centered design principles UX/UI design tools (e.g., Sketch, Adobe XD) Wireframing and prototyping Usability testing and user research Information architecture and user flows",InterContinental Hotels Group
3 to 15 Years,BBA,$65K-$127K,Seoul,Part-Time,Investment Advisor,Wealth Advisor,"Wealth Advisors provide financial advice to clients. They assess financial goals, create investment strategies, and offer guidance on wealth management and financial planning.",Financial planning Investment knowledge Relationship management Communication skills Analytical skills,Visa
1 to 13 Years,BBA,$58K-$115K,Riga,Part-Time,Customer Support Specialist,Help Desk Analyst,"Help Desk Analysts provide technical support and assistance to internal employees or external customers. They troubleshoot hardware and software issues, offer solutions, and document support interactions to maintain a reliable IT environment.",Help desk support Ticket resolution IT troubleshooting Customer service skills Technical knowledge Documentation and knowledge base maintenance Communication and interpersonal skills,Fresenius Medical Care AG & Co. KGaA
2 to 14 Years,M.Com,$57K-$108K,Lisbon,Part-Time,Research Analyst,Social Science Researcher,"A Social Science Researcher conducts research in fields such as sociology, psychology, or anthropology to study human behavior and social phenomena, contributing to academic knowledge.","Social science research methods Qualitative and quantitative data analysis Survey design and implementation Ethnographic research Interviewing skills Research ethics Statistical software (e.g., Stata, NVivo) Report writing Communication skills Critical thinking Empathy",Old Republic International
2 to 8 Years,BBA,$61K-$99K,Canberra,Contract,Marketing Analyst,Data Analyst,"Analyze data sets, generate insights, and provide data-driven recommendations to inform business decisions.","Data analysis tools (e.g., SQL, Python) Data visualization tools (e.g., Tableau, Power BI) Statistical analysis Data cleansing and transformation Data modeling Communication of data insights Problem-solving Attention to detail Business acumen",Sysco
3 to 10 Years,BCA,$63K-$105K,Doha,Contract,Registered Nurse,Charge Nurse,"A Charge Nurse leads and supervises nursing staff, coordinates patient care, and ensures efficient operations within a healthcare unit or department.",Nursing leadership Charge nurse responsibilities Team coordination,ThyssenKrupp AG
5 to 10 Years,MCA,$58K-$128K,Kigali,Contract,Family Lawyer,Child Custody Lawyer,"Child Custody Lawyers specialize in family law, focusing on cases related to child custody and visitation rights. They represent clients in court, provide legal counsel, and advocate for the best interests of children in custody disputes.",Child custody law Family law Legal advocacy Negotiation Court representation Legal research Client counseling Case preparation,PetroChina
4 to 13 Years,M.Tech,$57K-$119K,Nur-Sultan,Contract,Legal Advisor,In-House Counsel,"In the role of In-House Counsel, you will provide legal support to the organization across various areas, including contracts, employment law, and regulatory compliance. You will draft legal documents, handle litigation matters, and advise on legal risks affecting day-to-day operations. Your role is crucial in ensuring the company operates within the bounds of the law.",In-house counsel Legal advisory Employment law Intellectual property Regulatory compliance Dispute resolution Contract review Client counseling,China Construction Bank
4 to 15 Years,BBA,$58K-$92K,Manama,Part-Time,Purchasing Agent,Supply Chain Coordinator,"A Supply Chain Coordinator manages supply chain operations, coordinates logistics, and ensures the seamless flow of goods and materials throughout the supply chain network.",Supply chain logistics Inventory management Communication skills Problem-solving Vendor coordination,UGI
5 to 9 Years,BCA,$60K-$105K,Zagreb,Intern,SEO Specialist,Content SEO Strategist,"Content SEO Strategists create SEO strategies specifically for content, focusing on keyword integration, content quality, and user engagement to boost organic traffic.",Content strategy SEO content optimization Content marketing Keyword mapping Analytics,Seaboard
4 to 13 Years,PhD,$58K-$122K,Juba,Full-Time,Market Research Analyst,Market Researcher,"A Market Researcher gathers and analyzes market data to provide insights on consumer behavior, market trends, and competitor activities, aiding in informed business decisions.",Market research methodologies Data collection and analysis Industry knowledge,StoneX Group
3 to 14 Years,MBA,$60K-$86K,Road Town,Full-Time,Veterinarian,Equine Veterinarian,"An Equine Veterinarian specializes in the health and well-being of horses. They diagnose and treat equine illnesses, perform surgeries, and provide preventive care for horses.",Equine veterinary medicine Horse anatomy and physiology Lameness evaluation Equine surgery Dentistry for horses Emergency equine care Equine reproductive health Compassion and empathy Client communication Problem-solving Attention to detail,Unilever
4 to 13 Years,MCA,$64K-$99K,Montevideo,Intern,Accountant,Financial Accountant,"Financial Accountants handle financial records, prepare financial statements, and ensure compliance with accounting standards. They analyze financial data to provide accurate financial reports and support decision-making within the organization.","Financial reporting Accounting software (e.g., QuickBooks) Auditing GAAP knowledge","Wyndham Hotels & Resorts, Inc."
0 to 9 Years,MBA,$60K-$94K,Podgorica,Contract,Operations Manager,Operations Director,"Operations Directors oversee the daily operations of an organization. They develop and implement operational strategies, manage teams, and work to optimize processes to achieve business goals and efficiency.",Operations management Strategic planning and execution Budgeting and financial analysis Leadership and team management Process improvement and optimization,Dixons Carphone
0 to 11 Years,MBA,$63K-$125K,Prague,Part-Time,Marketing Manager,Product Marketing Manager,"Product Marketing Managers promote and market products or services. They create marketing strategies, conduct market research, develop messaging, and collaborate with cross-functional teams to launch and promote products effectively in the market.",Product positioning and messaging Market research and analysis Product launch planning Competitive analysis Marketing collateral creation Pricing strategies Cross-functional collaboration,Graphic Packaging Holding
4 to 13 Years,M.Tech,$56K-$115K,Bangkok,Contract,Procurement Manager,Strategic Sourcing Manager,"Develop and execute sourcing strategies to procure goods and services, negotiate contracts, and manage supplier relationships.",Strategic sourcing strategies Supplier evaluation and selection Negotiation skills Vendor management Cost analysis Supply chain management Contract management Problem-solving Attention to detail Communication skills Strategic thinking,CRRC Corporation
0 to 14 Years,B.Com,$57K-$99K,Brasilia,Full-Time,Speech Therapist,Pediatric Speech Therapist,Pediatric Speech Therapists provide speech therapy to children with speech and language disorders. They assess and treat communication difficulties to improve language skills.,Pediatric speech therapy Speech-language assessment Individualized treatment plans Child development Communication skills,Par Pacific Holdings
5 to 15 Years,M.Com,$62K-$99K,Dili,Part-Time,Project Manager,Construction Project Manager,"The Construction Project Manager oversees and manages construction projects, ensuring they are completed on time and within budget. They coordinate with contractors, architects, and other stakeholders to ensure successful project delivery.",Construction management Budgeting Contract negotiation Safety regulations,Western Digital
4 to 11 Years,BCA,$55K-$99K,Amman,Contract,Inventory Analyst,Inventory Control Specialist,"Inventory Control Specialists manage and optimize inventory levels in a business. They track stock, monitor demand, and implement inventory control procedures to ensure efficient operations and minimize carrying costs.",Inventory management Stock control Demand forecasting Inventory tracking systems Supply chain coordination Problem-solving skills,StoneX Group
0 to 14 Years,B.Com,$65K-$98K,Sri Jayawardenepura Kotte,Contract,Process Engineer,Industrial Engineer,"Industrial Engineers focus on improving efficiency and productivity in various industries. They analyze processes, design systems, and implement solutions to streamline operations, reduce costs, and enhance quality.",Industrial engineering Process optimization Lean manufacturing Quality control Data analysis Workflow design,Bed Bath & Beyond
2 to 10 Years,MBA,$57K-$127K,Sucre (de jure),Intern,Social Media Coordinator,Content Creator,"Create engaging and relevant content, such as articles, videos, or social media posts, to promote brands or products.","Content creation (e.g., writing, editing, graphic design, video production) Content marketing Social media management SEO optimization Creative storytelling Audience engagement Analytics and reporting Adaptability Communication skills Creativity",Intertek Group
